sno,sna,tot,dis,INDEX,Station,
1,捷運市政府站(3號出口),180,271.8721403,BL18,市政府,0
2,捷運國父紀念館站(2號出口),48,39.90719295,BL17,國父紀念館,0
3,台北市政府,40,375.1935894,BL18,市政府,2
4,市民廣場,60,340.4937432,R03,台北101/世貿,0
5,興雅國中,60,425.23734,R02,象山,0
6,臺北南山廣場,80,289.8284111,R03,台北101/世貿,0
7,信義廣場(台北101),80,234.5943931,R03,台北101/世貿,0
8,世貿三館,60,238.2115034,R03,台北101/世貿,0
9,松德站,40,507.5599014,R02,象山,2
10,台北市災害應變中心,54,569.9423142,R03,台北101/世貿,0
11,三張犁,50,449.6860315,R04,信義安和,0
12,臺北醫學大學,48,730.972108,R03,台北101/世貿,2
13,福德公園,58,783.0607896,BL20,後山埤,0
14,榮星花園,32,541.3934965,BR12,中山國中,2
16,松山家商,48,603.2350248,BL19,永春,2
17,民生光復路口,34,580.9405674,BR13,松山機場,2
18,臺北市藝文推廣處,40,291.077581,G17,台北小巨蛋,2
19,象山公園,30,467.6136806,R02,象山,2
20,捷運科技大樓站,58,29.30705384,BR08,科技大樓,0
21,民生敦化路口,66,575.1722083,BR12,中山國中,0
22,松山車站,44,162.2357767,G19,松山,2
23,東新國小,32,511.4433022,BL22,南港,2
24,信義建國路口,46,265.8390725,R06,大安森林公園,2
25,永吉松信路口,30,664.1166419,BL19,永春,2
26,捷運昆陽站(1號出口),42,96.69770856,BL21,昆陽,2
27,捷運南港展覽館站(5號出口),38,105.2641772,BR24,南港展覽館,2
28,五常公園,32,376.7107721,G19,松山,2
29,金山愛國路口,54,329.9446359,R07,東門,0
30,基隆長興路口,74,1012.854533,BR08,科技大樓,0
31,辛亥新生路口,30,670.845871,G08,台電大樓,2
32,捷運六張犁站,38,12.76907028,BR07,六張犁,2
33,中崙高中,46,501.4613018,G18,南京三民,2
34,捷運行天宮站(1號出口),32,152.117818,O09,行天宮,2
35,捷運行天宮站(3號出口),30,31.22060052,O09,行天宮,2
36,臺大資訊大樓,72,600.3417774,BR08,科技大樓,0
37,捷運東門站(4號出口),46,29.94198569,R07,東門,0
38,臺灣師範大學(圖書館),32,662.2243345,G09,古亭,2
39,南港世貿公園,26,274.4859149,BR23,南港軟體園區,2
40,玉成公園,34,460.0601516,BL20,後山埤,2
41,中研公園,30,878.7309372,BL22,南港,1
42,捷運後山埤站(1號出口),38,114.3180183,BL20,後山埤,2
43,凌雲市場,30,1980.60971,BL22,南港,1
44,捷運南港軟體園區站(2號出口),36,30.56476236,BR23,南港軟體園區,2
45,捷運公館站(2號出口),30,36.38118119,G07,公館,2
46,南港國小,58,595.2858067,BR23,南港軟體園區,0
47,捷運忠孝新生站(4號出口),34,104.5560293,O07,忠孝新生,2
48,南港車站(忠孝東路),38,157.7041746,BL22,南港,2
49,龍門廣場,52,293.8057446,BL16,忠孝敦化,0
50,民權運動公園,52,832.3730548,BR13,松山機場,0
51,建國農安街口,44,692.6601905,O09,行天宮,2
52,建國長春路口,30,493.5985415,G15,松江南京,2
53,八德市場,26,460.3773074,O07,忠孝新生,2
54,臺北市立圖書館(總館),30,603.955645,R06,大安森林公園,2
55,臺北田徑場,46,335.9699264,G17,台北小巨蛋,2
56,仁愛林森路口,42,658.5164102,BL13,善導寺,2
57,新生和平路口,46,798.8718117,R06,大安森林公園,2
58,捷運善導寺站(1號出口),48,112.9115103,BL13,善導寺,0
59,林森公園,32,547.6452891,R11,中山,2
60,中山行政中心,30,512.2897154,O09,行天宮,2
